emp_no,exit_date,exit_reason
452448,2/5/02,7
412999,1/22/98,2
55486,1/7/91,4
471661,2/18/96,2
22463,12/19/05,1
241861,8/24/12,2
273206,5/23/01,1
79988,1/22/07,2
233753,1/13/04,1
88920,5/18/00,6
83266,10/29/03,1
470872,9/24/01,6
410290,5/19/95,4
66497,5/17/94,1
287080,1/2/01,3
217000,3/17/07,3
229944,4/29/03,6
94926,8/7/04,3
210425,10/11/04,7
439190,6/25/96,2
203982,6/29/02,7
436920,8/24/98,3
273024,12/1/07,4
296483,5/28/03,7
218099,9/2/93,2
232896,8/29/93,2
105633,2/16/93,2
100805,11/14/06,6
254398,3/22/04,4
481981,5/9/95,4
293144,12/12/93,3
481794,5/22/97,4
428094,5/1/97,2
459526,12/6/01,7
40900,6/11/99,7
202663,7/30/00,6
418783,8/31/94,6
451057,3/30/97,2
448922,5/25/02,5
457756,10/4/00,2
203597,9/5/99,5
260839,9/25/12,5
95609,3/17/94,1
228384,5/12/10,2
38588,12/5/11,2
241721,3/8/98,4
481764,5/4/91,1
210212,8/16/91,7
12364,7/18/07,2
242706,2/23/95,5
97678,1/9/95,7
91671,10/29/99,3
101298,4/16/04,5
232004,7/12/91,1
60048,9/18/98,3
235864,6/29/99,1
249074,12/8/91,4
62003,12/2/01,1
247457,4/1/02,3
216946,5/12/06,3
64494,9/10/01,2
459578,4/27/03,3
404471,8/29/07,6
466882,3/10/04,2
470818,4/20/07,5
77298,10/5/12,4
299590,8/19/10,6
206174,10/27/97,3
490374,12/13/08,2
454460,5/12/98,4
491988,7/3/07,7
473192,2/6/90,3
282979,12/9/94,4
59909,2/23/95,4
260780,4/15/07,2
493198,4/7/06,7
499225,6/6/00,3
474026,1/27/07,6
108157,10/14/04,4
39999,7/20/05,1
259040,1/17/05,2
32727,2/11/98,1
251521,10/24/00,2
499615,1/23/95,6
18551,3/16/03,7
499346,4/28/00,6
446883,7/27/02,2
14655,7/1/92,1
493569,1/31/95,3
34704,8/15/95,3
458456,8/28/08,5
278985,3/17/07,1
480019,5/2/01,2
231084,10/23/98,1
272961,6/10/92,1
489856,1/9/97,2
255422,2/1/99,6
264833,2/16/04,2
206420,11/30/89,7
226602,6/1/91,6
204827,11/12/04,1
219583,5/10/00,5
492118,12/9/02,3
38055,9/25/92,4
76816,8/11/01,6
54932,1/13/95,7
224417,4/17/05,5
13203,2/14/05,3
21687,12/7/99,3
35948,6/30/96,7
426738,6/8/98,5
206229,4/8/01,3
31315,3/24/95,7
73177,10/21/91,5
267630,2/19/05,7
270631,7/21/93,1
432700,9/5/00,6
71967,12/10/01,6
425730,10/27/96,1
33691,12/14/92,1
37423,12/24/01,5
108001,11/16/02,7
34457,8/26/07,3
299515,6/28/95,6
220206,10/6/98,6
296003,12/20/93,5
468545,5/7/01,2
258420,7/18/95,5
403699,3/11/91,3
58730,12/3/01,2
439080,7/9/06,6
102700,3/9/95,2
46924,1/12/92,7
432533,6/23/99,6
489916,4/6/97,1
72332,8/18/03,6
254281,8/23/05,5
240160,11/20/98,1
42274,9/11/98,4
54822,12/15/01,3
466968,10/28/90,4
200833,5/16/94,7
290348,10/12/99,6
485639,5/5/01,5
262914,12/22/00,3
91959,2/21/99,7
462835,1/21/90,6
107161,4/1/91,5
249878,1/13/96,4
28327,10/21/93,4
45493,12/16/97,2
435415,3/28/98,1
35251,2/15/96,6
88561,4/25/98,4
442055,7/30/97,4
289697,1/13/00,1
426768,5/13/12,2
402973,5/24/98,2
73198,7/5/96,7
90762,1/13/99,3
83597,10/27/91,1
412308,2/8/92,6
267759,6/22/05,1
247991,11/15/07,5
414260,5/7/96,3
98744,6/20/08,5
444692,5/12/08,6
439365,12/11/92,1
240325,12/1/00,7
26581,5/26/97,5
466515,10/28/96,5
47280,3/2/96,4
413315,1/13/03,5
483268,12/17/92,1
478177,8/11/05,3
422131,3/6/97,1
271698,2/6/95,5
106534,12/28/05,1
43016,7/16/99,5
225869,7/20/94,7
232463,5/4/97,6
277918,4/17/02,4
33736,6/10/93,4
93013,1/5/04,1
224235,2/24/00,1
32753,9/23/93,2
18231,10/12/04,1
234751,3/11/11,2
65276,9/26/91,1
485055,6/15/93,3
30361,9/5/99,1
440724,11/3/02,2
273778,3/12/95,4
93168,10/15/97,6
200358,3/24/02,7
230886,2/12/03,5
201917,3/5/92,2
204424,5/21/00,6
286738,11/14/07,2
106787,5/3/06,5
35611,4/9/00,5
232763,10/17/02,6
415636,9/4/95,6
246967,9/1/94,3
101477,2/27/97,1
475921,5/20/02,3
216492,11/28/02,6
443854,1/30/92,6
414288,12/25/99,5
27758,3/2/00,3
475535,8/14/99,2
264481,4/28/06,6
217466,8/11/96,2
492790,2/22/98,2
290098,6/13/05,5
29461,10/28/02,2
225162,11/9/00,7
101051,4/21/03,6
478475,6/7/03,1
53827,10/12/95,3
60802,11/8/10,4
60075,4/24/99,1
64932,9/28/01,3
453811,12/28/95,2
469293,8/21/01,3
42462,9/11/02,3
55875,4/22/01,1
254972,4/22/96,6
231753,9/12/07,5
436872,10/6/98,3
91349,4/20/03,3
80020,10/24/95,4
236177,11/16/93,2
58123,9/28/97,5
461251,5/26/01,6
104505,12/2/92,4
49050,9/4/02,5
65836,12/20/08,7
265958,4/22/93,7
50898,3/17/10,2
405304,2/21/95,1
273516,10/10/99,4
442862,11/19/93,5
45213,3/8/94,1
35654,12/13/92,1
496552,9/20/09,1
51200,5/7/05,2
408745,5/19/94,2
292390,2/16/95,1
473730,1/30/04,4
218427,8/22/06,5
98267,1/2/93,7
98776,11/24/05,5
488589,5/28/93,5
242530,5/6/01,2
298763,1/20/93,6
88634,2/20/01,2
12124,3/27/91,2
209992,4/14/97,3
206600,10/3/04,4
406146,5/2/05,4
98204,6/12/98,7
442969,11/9/98,2
95144,5/5/10,3
237455,5/5/02,3
293627,4/7/95,5
103286,5/25/01,4
84195,4/4/94,4
470020,3/29/97,7
104238,7/5/96,4
241410,7/21/08,4
410427,4/17/00,3
469198,4/30/02,7
200764,4/24/93,6
432917,5/4/98,5
401013,11/27/02,1
94875,7/4/97,5
400045,12/21/96,7
453505,5/18/04,5
84213,3/29/04,3
209436,12/3/94,3
481113,1/18/01,1
268111,6/18/93,1
424445,2/19/14,5
254677,11/22/92,5
448689,5/8/97,2
234637,11/12/10,3
83258,2/8/02,5
62993,10/31/00,5
67471,10/15/04,4
211899,2/7/00,2
81848,5/9/04,7
93337,4/8/10,3
80932,5/3/99,2
75924,8/20/95,5
471417,12/29/00,7
89182,11/20/93,2
415724,9/20/04,2
410541,9/2/97,3
27455,8/4/03,1
462269,8/11/94,5
274549,4/19/01,6
410689,8/10/99,4
283653,11/17/93,3
491159,4/27/01,7
489814,7/27/97,2
453870,2/11/94,7
93929,5/22/02,6
211056,5/9/93,4
250693,4/23/07,3
240605,4/13/98,5
16646,2/24/94,6
295487,4/26/01,7
270021,3/2/03,1
413237,1/29/00,6
63204,8/4/92,2
58803,6/5/02,7
252307,1/12/10,2
424552,7/5/97,4
87803,12/13/05,2
403442,10/29/03,5
288916,10/27/07,5
428036,3/9/96,3
459334,12/30/98,1
475975,3/22/03,1
217983,2/10/94,7
49784,6/24/04,7
490006,11/19/03,3
205780,10/12/93,1
212914,4/13/98,2
430457,12/27/05,2
26805,2/2/97,4
207597,2/27/93,6
449657,12/26/00,2
471326,6/14/98,4
273534,2/17/98,1
299717,8/31/01,4
286540,10/17/92,5
483886,6/8/02,5
216985,12/17/00,2
85546,1/6/02,2
462906,5/11/10,5
58876,2/17/05,1
473351,12/14/09,3
407768,4/10/96,4
464620,6/7/00,3
241647,10/17/97,7
79246,8/25/98,7
477413,3/13/03,2
245679,6/4/95,2
203224,7/24/07,7
456356,3/20/03,2
90761,3/21/92,5
234859,8/18/96,2
436223,12/24/00,3
424420,8/18/95,4
65119,12/22/01,5
34354,9/4/94,6
473839,5/4/03,4
439611,9/30/00,1
46378,8/12/96,1
282413,6/6/06,5
230916,2/12/95,7
407180,3/27/95,1
288592,2/19/98,5
88893,5/29/92,3
245126,12/13/02,1
31924,8/10/04,3
211277,6/30/00,2
403911,2/8/06,5
247490,6/13/06,7
486373,1/12/06,3
55593,4/24/92,6
456286,12/15/02,4
433950,6/18/90,7
89126,9/16/94,6
16528,4/9/02,2
454580,10/27/94,6
217786,6/21/98,1
64098,9/16/99,1
498736,3/25/95,6
238718,11/18/89,7
108918,7/15/01,2
91793,7/27/95,2
285099,1/11/07,7
468009,8/18/04,1
232445,1/21/00,7
428409,6/6/02,4
212392,5/6/07,1
235391,11/17/94,6
61045,11/7/98,6
285898,11/13/14,4
53868,6/18/92,7
92203,8/5/04,4
253339,5/16/97,7
99996,12/24/91,1
24661,8/20/03,4
427025,11/11/98,7
250261,4/22/01,2
11259,12/1/91,2
262402,5/19/92,1
410473,9/9/03,1
410165,6/18/96,7
455684,4/26/08,1
428971,7/2/91,7
471828,6/25/05,6
296095,11/25/04,5
466107,5/12/97,3
53561,8/23/98,5
209889,3/28/01,4
400093,12/11/99,7
423480,6/27/08,4
462511,7/9/95,6
474866,2/8/90,3
218504,5/15/98,6
267429,7/7/00,5
456696,12/25/00,4
278767,8/8/02,6
424706,7/16/94,6
449239,8/18/00,7
101150,12/11/01,5
81881,8/30/99,2
215164,1/5/00,2
59288,1/3/01,1
261310,8/17/00,4
276350,7/17/04,3
479806,7/29/07,7
442130,12/7/03,2
472911,3/11/04,4
212135,6/11/07,6
402154,11/13/93,3
436587,5/29/94,5
432462,5/31/96,5
480247,2/26/01,3
453292,3/17/97,4
282602,2/20/94,1
18176,8/1/06,5
412143,10/21/93,1
23165,7/26/98,6
282942,7/18/97,5
264487,2/6/05,7
473746,6/1/00,3
43329,5/21/98,6
420522,8/3/97,3
12615,12/17/01,6
244280,8/27/95,5
275178,8/7/96,6
250614,4/10/98,3
53980,7/15/99,7
12253,8/3/99,5
451243,12/11/01,3
99175,5/12/99,5
272431,2/21/04,6
57140,1/10/00,2
450722,12/11/11,2
434012,3/2/00,4
450869,2/8/04,2
204464,5/25/05,4
242209,1/12/10,6
37894,7/26/01,7
269916,8/5/01,5
109712,5/6/98,3
273553,1/2/03,4
21150,2/8/99,7
293209,10/30/98,3
274158,12/8/94,1
440739,2/12/02,1
293803,4/1/95,4
34091,7/5/06,7
241437,9/22/93,7
64905,6/18/13,5
68221,11/24/96,6
226210,2/6/03,2
45125,10/14/96,3
427754,8/22/94,2
299554,10/21/96,4
239835,9/13/00,6
282678,12/4/02,3
252068,6/29/07,6
291013,12/7/01,3
455150,4/11/04,6
425624,6/27/90,1
208844,1/18/06,3
57562,4/16/99,5
442794,8/14/91,2
62739,4/18/06,6
461414,5/30/00,1
92816,6/21/00,3
250596,7/2/12,1
48100,3/9/10,6
227342,8/31/02,2
17454,7/29/91,5
11434,3/28/05,2
478383,2/9/05,3
58659,6/4/99,2
71389,8/24/12,3
32500,9/30/01,3
41318,4/6/99,6
202998,6/22/92,2
244490,6/22/01,2
213117,1/2/93,1
100210,6/3/98,3
65308,3/7/99,3
210796,2/27/97,1
39523,5/28/97,3
222844,4/14/02,4
417531,4/3/01,5
487795,5/8/96,5
253197,9/28/03,7
210642,3/18/99,7
250273,12/29/03,3
24442,2/26/01,5
91220,3/27/98,4
402347,3/27/08,7
450375,6/9/92,2
495104,11/25/90,5
433058,11/26/90,5
12327,2/14/00,1
233557,5/15/92,4
498401,8/20/00,4
258584,1/6/92,4
216849,5/7/99,3
109942,1/11/06,7
207351,11/24/99,2
245162,9/20/08,5
41385,7/13/99,2
472379,3/18/95,4
89152,3/19/96,5
460410,7/3/98,7
49740,7/9/08,2
430686,8/24/03,2
89336,9/27/05,2
216652,9/22/99,3
496434,11/4/99,7
54089,12/16/96,1
49328,5/1/96,6
476170,2/7/02,1
278465,2/4/00,7
203605,8/2/98,6
489206,7/28/99,3
38134,4/20/10,4
487282,3/23/01,1
19588,7/5/90,2
256812,7/17/05,4
243609,2/24/07,7
497243,10/19/99,6
80159,8/24/92,2
459101,4/26/00,6
448832,1/8/02,3
283232,5/14/90,6
107934,8/7/96,5
54502,2/1/02,5
478217,3/7/03,2
94813,1/29/08,2
282100,10/4/98,4
209696,3/18/07,7
36174,4/21/94,1
454091,7/16/08,6
478786,11/1/99,1
488231,12/10/06,4
44112,9/12/95,3
81536,8/23/91,4
207007,3/28/00,3
270102,2/27/01,2
268399,2/12/96,5
282971,6/6/04,7
413577,1/11/98,2
465698,4/21/93,5
237357,4/11/98,7
77343,8/27/10,1
464205,12/14/95,6
498055,2/25/02,1
23283,8/30/97,6
109879,7/5/95,7
89481,10/11/99,5
412125,12/31/90,6
29621,10/9/05,2
441352,2/25/00,7
431767,11/24/92,6
47671,3/6/01,2
39897,7/4/10,2
441550,10/4/02,1
478606,10/16/00,3
41359,11/16/09,5
273026,2/20/99,5
489020,1/16/99,5
417857,11/19/98,1
296882,5/21/96,7
243343,5/4/06,5
92079,3/9/00,4
220270,6/6/97,7
207084,1/16/98,7
225761,9/25/06,4
13122,2/16/03,4
462193,3/11/94,5
87109,3/11/08,3
455477,1/17/98,2
256241,1/13/91,7
70077,12/23/94,1
35874,6/7/04,3
285509,3/3/07,2
239818,11/18/00,2
234578,12/23/99,5
249577,4/17/03,3
232161,3/29/94,4
18769,3/17/01,4
52313,9/6/02,4
278033,9/30/06,3
427307,5/27/02,7
463778,1/15/93,5
471187,6/28/98,7
471044,8/17/94,3
237775,4/1/96,1
259921,2/20/98,3
438398,4/28/97,4
269514,6/5/05,2
87583,11/1/95,6
53185,2/29/00,3
446018,3/21/01,7
489768,3/19/03,2
453055,3/12/98,7
203991,4/9/98,1
249923,6/14/98,6
34698,12/31/99,6
272834,5/11/97,1
458841,8/21/94,7
83611,5/4/02,4
80985,12/25/06,1
89519,10/23/00,3
401046,10/30/92,3
210631,9/2/96,1
461405,1/16/92,3
495609,9/6/05,3
58551,9/10/00,3
285030,5/21/11,4
476477,7/18/09,3
48215,6/20/94,7
449053,9/3/90,2
415568,5/4/99,7
69091,3/13/04,6
224222,7/26/01,5
26375,9/21/03,7
96185,10/24/00,2
279471,9/22/93,1
41946,3/15/02,6
414905,6/2/01,3
48292,2/21/06,6
57198,11/2/01,1
222947,6/29/09,2
431192,2/17/97,1
478888,11/8/97,3
479395,7/10/04,2
485904,9/12/93,2
426834,12/30/01,6
200312,4/8/03,7
297144,4/30/96,7
18638,9/27/00,6
67580,9/25/95,1
28935,4/30/95,6
414817,4/5/05,3
64084,12/9/03,5
226636,9/21/00,5
225401,3/13/99,3
446926,5/10/04,4
243226,8/6/98,4
224635,12/25/96,5
235888,2/14/06,1
54001,5/29/03,6
61191,5/6/96,1
474385,1/14/90,3
98877,9/19/99,3
28801,4/22/10,3
430854,6/20/94,1
415673,2/21/94,2
18004,1/21/01,5
94593,2/25/06,3
408741,5/15/10,3
463730,5/5/01,4
65115,2/20/94,1
202919,12/10/96,4
29599,8/24/96,3
243535,6/3/93,5
27789,3/24/04,7
96907,10/27/99,6
289719,5/26/08,5
288345,10/12/97,5
282848,9/29/04,4
229127,10/27/94,1
201589,7/20/03,3
461356,2/18/05,5
429315,11/26/01,7
464116,3/24/05,7
293790,6/22/02,3
243682,11/19/96,3
229437,4/8/01,7
73273,4/25/98,7
433791,5/17/02,4
97926,5/27/90,3
59116,5/10/07,7
52096,5/2/91,7
234193,3/5/91,4
75777,12/24/99,5
44760,6/5/03,1
427563,2/10/97,2
83523,4/13/97,4
229627,3/28/91,7
410701,3/25/93,7
413799,4/24/00,4
230595,6/7/95,5
446592,7/9/09,1
286694,9/7/98,2
229667,6/9/01,3
422661,9/3/07,3
208299,3/21/96,5
30382,4/17/96,7
43531,9/4/04,2
99558,10/4/97,2
436846,8/7/05,1
109188,9/25/02,7
498600,7/11/10,3
40050,12/22/97,5
289244,2/11/01,6
402413,7/29/02,3
26139,4/4/92,4
103472,2/6/01,2
270236,3/18/00,3
442618,1/8/98,1
65337,10/19/07,2
71775,7/17/03,3
98972,12/9/97,6
400866,10/29/93,1
448223,2/15/01,5
450931,2/5/92,6
253508,9/2/07,3
458593,11/7/03,7
91899,1/22/03,1
207688,1/30/98,7
57704,3/31/98,7
53352,7/18/04,3
20991,3/3/97,5
90009,12/30/95,5
107758,9/26/05,3
44139,5/19/96,6
478360,11/10/94,6
236124,2/5/09,2
70723,9/28/97,5
293249,6/11/03,5
89445,6/14/96,7
406661,8/18/03,1
421544,5/5/09,5
423021,11/16/00,3
272216,9/7/02,2
18083,3/28/99,4
79233,1/11/10,3
237043,5/19/96,7
216847,3/2/00,7
457048,10/3/93,6
421286,4/13/91,7
431505,3/31/06,3
56437,10/3/07,3
493224,12/28/92,4
478845,12/21/94,7
278609,3/29/97,7
251676,11/1/01,1
283371,4/11/02,6
202944,8/11/00,4
254695,7/25/05,7
485211,8/15/02,1
499954,10/17/04,5
285516,5/19/03,1
29790,2/25/00,7
475146,10/24/93,3
70047,1/7/95,2
416923,10/3/96,5
223707,4/8/03,3
253762,6/23/98,1
406154,2/12/01,3
446870,6/5/05,2
78273,2/12/96,1
437895,3/14/96,5
276352,9/27/06,5
24325,11/19/00,1
16944,1/16/98,5
274021,2/7/99,5
465869,11/15/92,4
447168,11/19/93,3
270214,3/7/04,7
97493,9/28/99,1
488048,4/15/03,3
90513,1/22/93,4
58462,6/6/00,3
103544,5/8/02,5
415734,11/19/04,4
260219,5/20/05,2
429385,10/15/94,5
37102,11/28/97,3
484941,2/12/96,4
82949,12/19/99,4
246421,7/18/06,6
259231,7/25/00,2
73543,5/12/00,4
248543,2/10/01,2
402213,6/28/99,1
245547,3/11/98,1
40884,12/31/03,2
231113,7/31/02,6
228530,12/29/01,7
221677,9/1/95,6
298369,6/7/98,3
422028,7/3/97,2
429983,12/17/92,5
269680,10/23/05,4
279072,3/16/96,2
473292,3/8/08,7
414977,6/20/11,4
433789,1/10/06,2
59334,10/19/94,6
258752,4/14/92,4
497529,11/28/98,6
433543,7/15/94,6
88478,5/3/01,6
15239,12/16/03,5
253507,4/6/93,6
436060,9/21/93,2
28119,1/8/02,2
58516,1/6/98,7
62559,4/20/04,4
431825,1/24/00,1
53388,9/20/10,6
455745,6/11/99,6
419441,7/8/09,6
36702,4/22/93,4
479130,9/26/02,4
208113,9/22/99,5
49074,3/24/93,1
296767,5/18/01,6
478307,2/11/03,1
487755,7/30/95,5
444968,1/8/14,2
229011,11/4/97,6
210383,10/2/96,7
107654,7/12/93,7
287123,9/26/02,2
435134,11/4/96,6
416872,6/19/06,5
252157,7/11/95,4
99446,10/28/02,4
32374,8/16/09,4
248402,4/7/99,3
92627,1/1/04,3
294438,10/12/04,6
438943,2/3/95,4
472936,2/17/95,1
206580,5/14/95,1
15246,11/19/96,6
485685,1/30/95,6
291507,10/14/97,3
285102,12/29/03,6
63272,9/19/00,7
107941,9/22/04,6
12055,2/27/95,3
271208,4/16/05,7
83807,9/10/01,2
496605,1/15/94,7
62048,1/7/98,6
440854,3/5/11,2
270205,2/17/02,4
98712,2/3/90,1
109432,3/3/92,6
432233,8/29/97,6
47984,8/29/02,1
74462,9/28/05,1
59374,9/9/95,3
244548,12/11/07,2
413742,7/21/00,4
447795,6/7/00,4
246934,10/3/06,2
240789,7/5/97,7
33855,8/30/97,1
406897,9/1/92,4
268129,11/14/09,3
434126,1/17/96,1
465282,8/21/03,1
245868,2/13/96,2
469712,1/9/97,4
106199,7/7/05,5
22411,2/24/97,5
299130,4/2/04,6
438191,2/25/00,7
400104,3/7/97,4
216056,3/16/03,1
428609,4/28/93,5
70574,8/19/03,5
250106,7/19/02,5
233055,11/18/05,7
234780,10/17/12,7
22181,2/12/99,2
285651,6/13/04,5
283975,2/9/96,7
47533,9/21/95,7
243546,3/10/02,6
435898,12/22/00,1
400735,2/15/07,1
410536,5/23/96,7
21695,3/24/06,3
419184,3/12/95,4
77791,3/3/07,3
62108,7/28/03,3
477314,3/30/99,3
252178,8/2/05,2
61135,10/2/97,5
237600,1/17/97,1
414157,7/26/91,7
99964,10/7/94,1
33108,10/12/05,3
274688,5/3/98,1
272738,11/11/92,3
83504,2/5/99,1
17418,1/11/01,5
494563,8/24/99,4
477436,10/2/98,6
416576,3/21/98,4
435387,3/2/06,7
50697,2/8/02,7
498391,9/24/95,3
22366,5/6/95,4
256364,7/29/96,7
249022,6/15/98,5
289906,3/23/96,2
233695,8/6/03,2
283729,1/8/99,5
77191,11/1/00,6
487537,7/13/99,6
404134,2/23/01,1
254923,8/3/97,2
52630,4/11/96,4
281730,11/8/91,7
271116,7/1/92,4
74973,3/30/91,6
236394,9/25/01,5
227316,6/8/96,7
298133,6/23/07,7
217220,6/4/93,7
430495,5/12/04,4
470916,12/2/94,6
438788,1/6/91,7
299238,5/16/96,2
280162,1/16/95,1
25501,1/21/93,5
37028,1/14/03,7
452662,10/12/92,4
235933,10/17/05,7
441709,4/6/07,3
263588,11/12/01,4
255719,1/13/96,3
81060,7/11/08,2
434663,7/24/12,3
411851,4/21/94,3
88283,4/24/98,1
409164,9/4/03,4
14424,3/22/05,7
102149,11/10/02,6
438382,7/23/07,3
232718,8/1/98,4
30053,2/27/08,7
425164,11/3/98,1
63855,3/24/04,3
455000,9/25/03,2
258657,9/27/01,1
28195,2/2/09,5
497134,2/1/07,3
108549,10/14/01,7
81816,8/30/99,6
229364,11/1/93,2
289759,9/1/99,5
274474,8/29/04,4
52760,2/14/03,4
477048,1/29/00,4
228706,7/27/96,6
296278,4/15/03,3
89299,1/21/03,3
450694,2/9/06,5
251772,12/4/09,2
245833,7/3/00,6
200746,4/24/14,1
409978,4/12/96,2
32766,8/12/99,5
226174,7/12/92,3
80502,6/21/03,4
51807,5/21/02,5
91660,8/19/00,6
202337,12/15/96,3
471285,9/23/01,7
216585,5/21/07,3
101788,4/20/02,2
289074,2/24/96,4
419807,1/17/96,7
27189,1/19/03,4
108487,9/15/01,2
259822,11/26/95,1
255913,7/23/01,6
414160,2/15/93,7
465810,11/12/03,5
40162,9/3/90,6
278073,12/3/96,1
231286,3/24/13,5
262477,6/15/98,5
81422,6/23/02,5
79112,9/25/99,5
49882,8/29/07,3
276460,2/8/00,4
24852,10/26/00,3
458929,1/23/96,5
50223,11/28/02,7
478904,4/21/98,6
434996,2/5/99,5
442279,9/6/93,4
415720,8/21/98,3
270805,5/27/98,5
93836,5/19/05,4
266411,12/23/93,7
46875,12/31/02,2
231521,4/16/98,3
291916,11/12/96,7
472127,8/26/03,3
228269,5/12/02,5
443227,10/13/03,1
228103,1/25/02,7
216748,9/12/93,4
45584,2/12/02,2
35112,10/27/00,4
244471,7/25/05,7
265476,11/24/04,3
87618,7/7/05,3
280336,6/28/05,2
415408,3/18/07,5
455960,12/6/94,2
444710,4/11/90,7
203068,5/7/00,4
19488,10/21/00,4
96365,5/2/04,5
437414,8/31/93,3
258018,12/23/12,7
83127,10/9/93,2
219173,10/22/01,7
473784,7/2/94,6
437555,7/21/98,6
217384,11/23/01,6
102448,8/18/02,1
12610,10/11/04,4
258867,7/13/99,5
65489,6/9/06,6
219989,8/4/94,7
99103,1/8/99,4
460367,6/13/94,5
79217,4/16/00,7
15215,5/24/07,4
467757,10/8/93,6
462952,5/19/99,3
81233,1/19/05,7
486165,3/9/08,3
256059,8/22/02,2
107448,11/11/98,5
219119,3/8/04,2
473503,8/27/94,2
271839,9/9/02,3
66325,11/7/02,5
481106,4/18/98,4
414248,10/5/93,7
236133,1/18/97,2
297753,5/15/09,4
245914,3/31/98,2
104186,5/23/09,6
69809,1/2/01,7
459831,7/17/00,4
436933,4/9/00,6
480690,10/4/00,2
401066,2/14/00,2
481478,8/28/99,3
473278,12/23/97,7
212087,6/18/93,6
485123,6/14/97,7
102627,7/15/91,1
263045,8/24/95,7
241528,5/30/94,6
297554,10/31/98,4
93650,1/17/03,2
206501,5/13/90,6
43961,9/10/01,5
30478,12/14/06,5
271729,12/11/02,3
33621,8/2/95,3
421416,7/29/03,1
264893,11/2/90,5
438524,9/14/11,7
64503,11/25/92,7
299204,11/6/00,3
71828,12/2/00,7
492742,1/31/95,7
111534,6/5/99,3
95795,12/27/89,6
44452,3/15/96,7
273177,12/31/94,4
201266,8/7/95,7
434589,5/10/93,1
80421,5/24/00,1
441841,4/12/92,5
98115,8/19/09,3
268893,9/24/94,7
468083,9/19/00,5
410489,1/25/95,1
264751,8/14/04,1
75771,5/5/04,6
283687,4/23/99,4
486947,5/14/97,6
206832,12/16/01,4
487828,6/29/12,3
56042,8/26/98,5
411805,5/17/04,2
93969,9/27/01,4
70389,8/28/09,5
243031,7/22/92,5
463593,6/23/99,1
269403,6/25/90,4
434510,7/8/03,1
293721,1/25/97,5
10935,10/7/98,2
69009,3/10/99,3
242579,3/14/98,6
204264,4/13/90,5
225123,2/28/96,2
247979,5/23/96,3
291134,4/27/07,7
237416,9/27/97,2
21077,4/2/01,4
451977,10/2/02,6
452209,6/23/10,6
79757,9/9/02,6
249555,8/5/96,4
410348,4/11/96,3
431717,3/1/95,2
37957,9/1/96,2
50334,3/3/07,2
457718,12/16/95,5
90886,6/10/99,7
410184,7/10/00,5
406792,10/11/96,1
479462,12/10/03,6
268648,4/7/05,4
276997,3/2/08,6
245784,12/30/01,1
221056,8/21/01,1
284477,8/12/00,5
402863,12/7/03,2
21204,1/11/10,7
224880,4/24/01,7
25782,12/17/96,1
68552,1/14/99,5
48128,9/29/10,6
222110,5/16/97,6
438961,1/26/93,7
66922,3/28/99,3
278685,10/8/95,3
248077,1/2/06,2
268637,12/1/95,5
86758,9/1/99,2
